Name something you need to wrap a gift
Tape,55
Wrapping paper,34
Gift,5
Ribbon,4
Box,2
Name the shape of a Christmas cookie
Tree,36
Star,31
Round/Circle,19
Bell,7
Gingerbread man,5
Snowflake,2
Name a food you eat on Christmas
Chicken,28
Cookie,17
Cake,13
Chocolate,11
Pie,9
Turkey,8
Candy,7
BBQ,7
Name something you hang on Christmas tree
Lights,37
Star,21
Christmas ball,18
Card,8
Hat,6
Candy,5
Socks,3
Bell,2
Name something related to Santa Claus
Present,23
Hat,20
Beard,14
Reindeer,11
Clothes,10
Sleigh,8
Red,7
Socks,7
Name a Christmas decoration other than tree
Lights,20
Snowman/snowflakes,17
Hat,16
Socks,14
Bell,11
Wreath,9
Mistletoe,8
Fireplace,5
Name a place parents might hide Christmas presents
Under the tree,23
Socks,21
Under the bed,18
Storeroom,13
Cupboard,11
Under pillow,6
Chimney,4
Attic,4
Name something red and white
Flags,54
Santa clothes,26
Blood cells ,6
Candy Cane,6
Socks,4
Ambulance,4
Name a popular snack in our pantry
Biscuits,27
Chips,18
Fruits,15
Chinese snacks,11
Yoghurt,9
Ice Cream,8
Oolong,6
Nuts,6
Name a pizza topping
Cheese,34
Pepperoni,22
Pineapple,10
Chicken,8
Tomato,8
Mushroom,8
Olive,6
Green Pepper,4
Name something associated with Labs
Events,20
Foods,20
SeaTalk,15
Innovation,10
Work,10
Qunfeng,10
R&D,8
T-shirt,7
Name something you do in front of a mirror
Brush teeth,23
Do hair,19
Wash face,15
Say hi to myself,13
Make-up,10
Cry,8
Sing,6
Smile,6
Name something you sniff before buying
Perfume/Cologne,34
Fruits,26
Meat,15
Flowers,11
Candles,8
Fish,4
Milk,2
Name the first thing you do if you got a million dollars?
Quit job,27
New car,24
New house,22
Vacation,10
New boat,8
Pay off debt,5
Invest,4
Name something adults might be afraid of
Ghost,26
Monsters,22
Darkness,19
Aliens,16
Dentist,10
Taxes,7
Name something snowmen might have nightmares about
Sun/Weather,32
Fire,27
Blow dryer,16
Rain,13
Snowplow,7
Snowballs,3
Kids,2
